Model,P@5,P@10,R@5,R@10,NDCG@5,NDCG@10,Time (s)
Popularity,0.002285714285714286,0.002285714285714286,0.004285714285714286,0.01,0.0028672206935930287,0.00502723269586068,0.004663228988647461
Item-KNN,0.0,0.0005714285714285715,0.0,0.005714285714285714,0.0,0.0020354696406172696,0.0251467227935791
MF,0.0,0.0017142857142857146,0.0,0.008571428571428572,0.0,0.0035838413256864938,2.116128444671631
NeuMF (NCF),0.002285714285714286,0.0017142857142857146,0.004285714285714286,0.007142857142857143,0.0033259590413176714,0.004380677308629489,2.984052896499634
