Model,Embedding Dim,NDCG@10
MF,16,0.006316735056631232
NCF,16,0.006931085694720108
MF,32,0.0073225585180972915
NCF,32,0.011899589021340432
MF,64,0.005714285040141098
NCF,64,0.008886164286133216
MF,128,0.0009803928583135705
NCF,128,0.012039839413637211
