Model,P@5,P@10,R@5,R@10,NDCG@5,NDCG@10,Time (s)
Popularity,0.002285714285714286,0.002285714285714286,0.004285714285714286,0.01,0.0028672206935930287,0.00502723269586068,0.0007698535919189453
Item-KNN,0.0,0.0005714285714285715,0.0,0.005714285714285714,0.0,0.0020354696406172696,0.003695249557495117
MF,0.001142857142857143,0.001142857142857143,0.001142857142857143,0.004,0.0009690291579246174,0.0020743228928804505,2.229227304458618
NeuMF (NCF),0.0034285714285714293,0.002285714285714286,0.007142857142857143,0.01,0.004619069815780053,0.0058671123118838485,3.1048176288604736
