Model,Accuracy,F1_Weighted,Std_Acc
Logistic Regression,0.82602,0.8126747119108051,0.002188515478583596
Random Forest,0.85958,0.8536923876681859,0.0029915882069562923
Gradient Boosting,0.86296,0.8577836965432295,0.0030057278652599094
