city,district,rooms,area,price
Almaty,Алмалинский р-н,3,81.57,97884000
Almaty,Ауэзовский р-н,1,20.6,18000000
Almaty,Бостандыкский р-н,2,54.1,40500000
Almaty,Алатауский р-н,2,56.0,36000000
Almaty,Наурызбайский р-н,3,80.0,43700000
Almaty,Турксибский р-н,2,64.5,41300000
Almaty,Алмалинский р-н,2,64.0,37000000
Almaty,Наурызбайский р-н,2,52.0,31000000
Almaty,Турксибский р-н,2,64.0,23000000
Almaty,Unknown,1,37.85,14780425
Almaty,Бостандыкский р-н,2,62.4,47000000
Almaty,Бостандыкский р-н,2,62.8,58000000
Almaty,Наурызбайский р-н,2,93.0,35000000
Almaty,Алатауский р-н,3,90.0,47500000
Almaty,Наурызбайский р-н,3,80.0,36500000
Almaty,Unknown,1,43.0,17200000
Almaty,Наурызбайский р-н,2,73.7,42746000
Almaty,Бостандыкский р-н,3,58.4,37500000
Almaty,Алмалинский р-н,2,65.0,42000000
Almaty,Ауэзовский р-н,2,53.8,35500000
Almaty,Турксибский р-н,2,67.0,43000000
Almaty,Ауэзовский р-н,2,51.0,35000000
Almaty,Медеуский р-н,2,50.5,39990000
Almaty,Жетысуский р-н,2,54.58,20500000
Almaty,Ауэзовский р-н,2,42.9,29000000
Almaty,Жетысуский р-н,2,59.0,33000000
Almaty,Бостандыкский р-н,2,48.0,43500000
Almaty,Алмалинский р-н,1,44.6,53520000
Almaty,Турксибский р-н,1,43.03,27668290
Almaty,Бостандыкский р-н,4,185.2,120000000
Almaty,Алмалинский р-н,2,73.3,53500000
Almaty,Ауэзовский р-н,2,48.2,34000000
Almaty,Бостандыкский р-н,2,61.0,61000000
Almaty,Жетысуский р-н,3,87.75,63004500
Almaty,Медеуский р-н,3,127.74,183179160
Almaty,Бостандыкский р-н,2,52.0,50000000
Almaty,Наурызбайский р-н,2,50.0,39000000
Almaty,Бостандыкский р-н,3,75.6,75000000
Almaty,Ауэзовский р-н,2,60.0,49000000
Almaty,Турксибский р-н,2,51.0,29500000
Almaty,Ауэзовский р-н,1,50.0,32900000
Almaty,Алатауский р-н,3,53.27,39739420
Almaty,Ауэзовский р-н,4,128.5,105000000
Almaty,Медеуский р-н,3,92.0,55950000
Almaty,Наурызбайский р-н,1,27.6,18000000
Almaty,Ауэзовский р-н,2,79.8,66234000
Almaty,Бостандыкский р-н,2,58.0,43500000
Almaty,Медеуский р-н,3,152.41,236997550
Almaty,Наурызбайский р-н,2,74.6,43268000
Almaty,Медеуский р-н,4,135.2,155480000
Almaty,Бостандыкский р-н,2,111.0,73260000
